Occurrence ID,Short title,Author,Publication year,Title,Volume no.,Pages,Journal,Related objects,Editor,Book,Related publications
1415,"AoF 14 (1987), 247-251","Petschow, Herbert",1987,Zwei spätbabylonische Rechtsurkunden,14,247-251,Altorientalische Forschungen,,,,
1399,"Antiquity 31 (1957), 106","Wiseman, Donald J.",1957,"Rv. O. Neugebauer, Astronomical Cuneiform Texts",31,106,Antiquity,,,,
1382,"Annual Review 4 (1986), 1-26 [54 Texte in Umschrift, Übersetzung, Autographie: 1-37 Ur III, 38-47 aB, 49-54 nB/spB aus Uruk]","Peters, Celeste A.",1986,Cuneiform Tablets in the Collection of the Manitoba Museum of Man and Nature,4,1-26,Annual Review,,,,
1365,"Anatolica 14 (1987), 107-139","Joannès, Francis",1987,Fragments de Nippur d'époque néo-babylonienne,14,107-139,Anatolica,8508,,,
1349,"AMI 28 (1995/1996), 305-307","Heltzer, Michael",1995/1996,The Flogging and Plucking of Beards in the Achaemenid Empire and the Chronology of Nehemia,28,305-307,Archäologische Mitteilungen aus Iran,,,,
1333,"AMI 15 (1982), 105-187","Calmeyer, Peter",1982,Zur Genese altiranischer Motive VII: Die statistische Landcharte des Perserreiches I,15,105-187,Archäologische Mitteilungen aus Iran,,,,
1317,"Akkadica 123/2 (2002), 137-144","Vallat, François",2002,La Dame faite prisonnière à Babylone,123/4,137-144,Akkadica,,,,
1299,"AJSL 40 (1923-24), 186-208","Weidner, Ernst F.",1923-24,Ein babylonisches Kompendium der Himmelskande,40,186-208,American Journal of Semitic Languages and Literatures,,,,
1283,"AION 59 (1999), 405-408","Casaburi, Maria C.",1999,Sumerian Astral Nomenclature and Alternations in Writing,59,405-408,Annali dell'Istituto Orientale di Napoli,,,,
1267,"AfO 51 (2005/2006), 350-352","Hunger, Hermann",2005-2006,Rv. J.M. Steele and A. Imhausen (eds). Under One Sky. Astronomy and Mathematics in the Ancient Near East (=AOAT 297),51,350-352,Archiv für Orientforschung,,,,
1251,"AfO 48/49 (2001/2002), 244-247","Gerber, C.",2001-2002,"Rv. H. Hunger and D. Pingree, Astral Sciences in Mesopotamia, HdO 44 (Leiden and Boston/Köln 1999)",48-49,244-247,Archiv für Orientforschung,,,,
1233,"AfO 44/45 (1997/1998), 186-191","Koch, Johannes",1997-1998,Wache und Mine im antiken Mesopotamien,44-45,186-191,Archiv für Orientforschung,,,,
1216,"AfO 38/39 (1991/1992), 101-109","Koch, Johannes",1991-1992,"Zu einigen astronomischen ""Diaries""",38-39,101-109,Archiv für Orientforschung,,,,
1199,"AfO 20, (1963), 155","von Soden, Wolfram",1963,"izqātu, išqātu 'Kettenringe,' ein aramäisches Lehnwort",20,155,Archiv für Orientforschung,,,,
1181,"AfO 17 (1954/1956), 322-335","Eilers, Wilhelm",1954-56,Neue aramäische Urkunden aus Ägypten,17,322-335,Archiv für Orientforschung,,,,
1165,"Aegyptus 34 (1954), 220-230","Sarventi, Anna Teresa",1954,Sul personale dei templi neobabilonesi,34,220-230,Aegyptus,,,,
1149,"AcAntHung 19 (1971), 17-24","Hinz, Walther",1971,Zu den elamischen Burgbau-Inschriften Darius I. aus Susa,19,17-24,Acta Antiqua Academiae Scientiarum Hungaricae,,,,
711,"Sayce, BOR 4 (1889/1890)","Sayce, Archibald H.",1889/1890,Some unpublished Contract-Tablets,4,1-6,Babylonian and Oriental Record,,,,
291,"Frame, JCS 36/1","Frame, Grant",1984,“First Families” of Borsippa during the Early Neo-Babylonian Period,36/1,67-80,Journal of Cuneiform Studies ,,,,
257,"Pinches, JRAS 3","Pinches, Theophilus G.",1921,A Loan-Tablet Dated in the Seventh Year of Saracos,3,383-87,JRAS,,,,
237,"Clay, JAOS 41 (1921)","Clay, Albert T.",1921,A New King of Babylonia,41,313,journal of the American Oriental Society,6019,,,
197,"Strassmaier, ZA 4 (1889)","Strassmaier, Johann N.",1889,Inschriften von Nabopalassar und Smerdis ,4,106-152,Zeitschrift für Assyriologie und Vorderasiatische Archäologie,7650,,,
165,"Walker, AfO 24","Walker, Christopher,  Bromhead F.",1973,"Cuneiform Tablets in the County Museum and Art Gallery, Truro, Cornwall",24,122-127,Archiv für Orientforschung,5669,,,
4046,"AoF 39/2 (2012), 316-320","Waerzeggers, Caroline",2012,Very Cordially Hated in Babylonia? Zēria and Rēmūt in the Verse Account,39/2,316-320,,,,,
4030,"Iraq 75 (2013), 211-253","Stevens, Kathryn",2013,Secrets in the Library: Protected Knowledge and Professional Identity in Late Babylonian Uruk,75,211-253,,,,,
4014,BMCR 2016/06/11,"Rojas, Felipe",2016,"Rv. E.R.M. Dusinberre, Empire, Authority, and Autonomy in Achaemenid Anatolia",20116/06/11,,,,,,
3998,"ZDMG 164 (2014), 297-318","Oelsner, Joachim",2014,Wie griechisch ist Babylonien in hellenistischer Zeit? Zu den griechischen Sprachzeugnissen aus Babylonien,164,297-318,,,,,
3982,"Mesopotamia 46 (2011), 1-8","Monopoli, Bruno",2011,Babylon’s urban layout and territory from above,46,1-18,,,,,
3965,NABU 2013/92,"Jiménez, Enrique",2013,"Three colophons - 1. buḫḫušu, ""to copy""(?)",2013/92,,,,,,
3949,"Mesopotamia 46 (2011), 41-51","Graziani, Simonetta",2011,Babylon caput mundi. «What city is unto this great city?»,46,41-51,,,,,
3933,"Mesopotamia 47 (2012), 1-102","Damerji, Muayad Said Basim",2012,Babylon ­ KA.DINGIR.RA ­ «Gate of God». The Story of a City Killed by Legends and Oblivion,47,1-102,,,,,
3917,"JANEH 1/2 (2014), 119-172","Bloch, Yigal",2014,Judeans in Sippar and Susa during the First Century of Babylonian Exile: Assimilation and Perseverance under Neo-Babylonian and Achaemenid Rule,1 February 2016 at 1:00,119-172,,,,,
3901,"AfO 52 (2011), 22-76","Abraham, Kathleen",2011,Aramaic Loanwords in Akkadian — a Reassessment of the Proposals,52,22-76,,,,,
3885,"ZOA 1 (2008), 256-314","Gehlken, Erlend",2008,Die Adad-Tafeln der Omenserie Enuma Anu Enlil. Teil 2: Die ersten beiden Donnertafeln (EAE 42 and EAE 43).,1,256-314,Zeitschrift für Orient-Archäologie,,,,
3869,"Vivre et Penser III (1943-1944), 124-132","de Menasce, Jean",1943-1944,Observations sur l´inscription de Xerxès à Persépolis,III,124-132,Vivre et Penser,,,,
3853,"TIIAz 5 (1954), 156-183","Alijev, I.G.",1954,Über einige Fragen der ältesten Geschichte der medischen Stämme (in Azerbaijani),5,156-183,Tpуды Инстиеута Истории АН Аэербайджанской (Tpudy Instieuta Istorii AN Aèerbajdžanskoj),,,,
3837,"RES (1941), 70-72","Jean, Ch.-F.",1941,"Rv. E.W. Moore, Neo-Babylonian Documents in the University of Michigan Collection",,70-72,Revue des etudes sémitiques,,,,
3821,"Österreichische Hochschulzeitung 16/9 (1964), 3",Anonymus,1964,"Rv. W. Brandenstein and M. Mayrhofer, Handbuch des Altpersischen",16/9.,3,Österreichische Hochschulzeitung,,,,
3805,"OA 11 (1972), 297-317","Liverani, Mario",1972,"Elementi ""irrazionali"" nel commercio amarniano",11,297-317,Oriens Antiquus,,,,
3789,"Mount Holyoke Alumnae Quarterly 1/IV (1918), 211-216","Hussey, Mary I.",1918,Babylonian Tablets,1/IV,211-216,Mount Holyoke Alumnae Quarterly,,,,
3773,"JTVI 57 (1925), 10-29","Pinches, Theophilus G.",1925,The Worship of Idols in Assyrian History in Relation to Bible References,57,10-29,Journal of the Transactions of the Victoria Institute,,,,
3757,"JSJ 4 (1973), 184-191","Coogan, Michael David",1973,Patterns in Jewish Personal Names in the Diaspora,4,184-191,Journal for the Study of Judaism,,,,
3741,"JRAS 115 (1983), 306-307","Andrews, P. A.",1983,"Rv. P. Briant, État et pasteurs au Moyen-Orient ancien",115,306-307,Journal of the Royal Asiatic Society,,,,
3725,"JBR 17 (1949), 150-152","Finegan, Jack",1949,"Rv. A.T. Olmstead, History of the Persian Empire (Achaemenid Period)",17,150-152,Journal of Bible and Religion,,,,
3709,"Hiroshima University Studies, Literature Department 29 (1970), 207-223","Yoshikawa, Mamoru",1970,"On the Grammatical Terms in Neo-Babylonian Grammatical Texts (III), Marû/hamṭu",29,207-223,"Hiroshima University Studies, Literature Department",,,,
3693,"ET 25 (1913/1914), 420-423","Pinches, Theophilus G.",1913/1914,Glimpses of Life in Erech,25,420-423,"Etudes et Travaux. Travaux du Centre
d’Archéologie Méditerranéenne de
l’Académie Polonaise des Sciences sous la
direction de K. Michalowski",,,,
3677,"Eos 72 (1984), 207-209","Zawadzki, Stefan",1984,"Rv. E. Salonen, Neubabylonische Urkunden verschiedenen Inhalts, III",72,207-209,Eos. Commentarii Societatis Philologae Polonorum,,,,
3661,"Chiron 22 (1992), 55-81","Bosworh, Albert B.",1992,Philip III Arrhidaeus and the Chronology of the Successors,22,55-81,Chiron,,,,
3645,"BLOT (1993), 119","Geller, Mark J.",1993,"Rv. G. Frame, Babylonia 689-627 B.C. A Political History (PIHANS 69, 1992)",,119,"Book List. Society for Old Testament Studies (Llansadwrn, Menai Bridge)",,,,
3629,"Beer-Sheva 1 (1973), 171-198 (Hebr., Engl. summary 234)","Zadok, Ran",1973,The Jews in Achaemenid Babylonia: Territorial Concentration and Professional Distribution,1,171-198,Beer-Sheva,,,,
3613,"AION-L 2 (1960), 159-170","Kuiper, Franciscus Bernardus J.",1960,Three Notes on Old Persian (1. OP. hātiy 2. OP. mā stabava DNa 60 3. OP kunautiy),2,159-170,Annali dell’Istituto Orientale di Napoli,,,,
3597,"Achaemenid History 5 (1990), 121-130","Kuhrt, Amélie",1990,Alexander and Babylon,5,121-130,Achaemenid History,,,,
3581,"ZSS 49 (1929), 461-462","Nicolò, Mariano, San",1929,Die neubabylonischen Tontafeln aus Nêrab bei Aleppo,49,461-462,"Zeitschrift der Savigny-Stiftung für Rechtsgeschichte, romantistische Abteilung",,,,
3565,"ZDMG 157 (2007), 293-298.","Oelsner, Joachim",2007,Aramäische Beischriften auf neubabylonischen Ziegeln.,157,293-298,Zeitschrift der Deutschen Morgenländischen Gesellschaft,,,,
3549,"ZDMG 115 (1965), 227-241","Hinz, Walther",1965,Die untere Grabinschrift des Dareios,115,227-241,Zeitschrift der Deutschen Morgenländischen Gesellschaft,,,,
