Place id,Parent id,Place name,Related objects,Title
1549,43,Til-gubbi,8688,Til-gubbi
1532,1470,Ālu-ša-Amurru,7525,Ālu-ša-Amurru
1515,1470,Dūr-karaši-Bandada ,7768,Dūr-karaši-Bandada 
1499,37,Harri-ša-Zabūnu,7846,Harri-ša-Zabūnu
1481,43,Bāṣ,6620,Bāṣ
1463,70,Bīt-Na'innašu,2331,Bīt-Na'innašu
1443,55,Bīt-Haremarē pīhat Dannu-Nergal,6259,Bīt-Haremarē pīhat Dannu-Nergal
1426,55,Gannāti,5811,Gannāti
1409,37,Bīt-Uqata,5485,Bīt-Uqata
1356,70,Adabilu,2307,Adabilu
1306,61,Til-atūnē,,Til-atūnē
1258,61,Šilihtu,,Šilihtu
1210,61,Rūqu,,Rūqu
1159,61,Nāru-eššu,,Nāru-eššu
1111,61,Kār-Eanna,,Kār-Eanna
1063,61,Huṣṣēti-ša-bīt-ilāni,,Huṣṣēti-ša-bīt-ilāni
1015,61,Harr[],,Harr[]
967,61,Dūru-ša-Ammi-jabab,,Dūru-ša-Ammi-jabab
919,61,Bīt-Šama'-il,,Bīt-Šama'-il
871,61,Bīt-hanšē,,Bīt-hanšē
823,61,Baṭnānu,,Baṭnānu
775,61,Aššurītu,,Aššurītu
727,61,Ālu-ša-Jaqi'-il,,Ālu-ša-Jaqi'-il
679,40,Til-Rahīmu,,Til-Rahīmu
631,40,Sūqija,,Sūqija
583,40,Nāqidīni,,Nāqidīni
535,40,Huṣ-Šagībi,,Huṣ-Šagībi
487,40,Huṣṣēti-ša-Ad-rahū,,Huṣṣēti-ša-Ad-rahū
439,40,Ganata,,Ganata
391,40,Bīt-Zabīni,,Bīt-Zabīni
343,40,Bīt-Rihētu,,Bīt-Rihētu
295,40,Bīt-Hattanīšu,,Bīt-Hattanīšu
247,40,Bīt-Ea,,Bīt-Ea
199,40,Bīt-ahi,,Bīt-ahi
151,40,Appāru-ša-Bīt-Enlil,,Appāru-ša-Bīt-Enlil
103,40,Ālu-ša-Arbāja,,Ālu-ša-Arbāja
55,4,North_west Babylonia,,North_west Babylonia
1548,40,Kapri-Lirīm,1855,Kapri-Lirīm
1531,37,Bīt-Bēl-rēmanni,7481,Bīt-Bēl-rēmanni
1514,1470,Kabbartu,7892,Kabbartu
1498,76,Upija,7654,Upija
1479,43,Til-qāqulli,6690,Til-qāqulli
1462,70,Kašši [],2520,Kašši []
1442,55,Alu-ša-Nabû-iqīša,6250,Alu-ša-Nabû-iqīša
1425,55,Bīt-Hulummu,5781,Bīt-Hulummu
1408,61,Uruk city,5705,Uruk city
1353,70,Ālu-ša-Ṭūb-Yaw,2305,Ālu-ša-Ṭūb-Yaw
1303,61,Til-agurrēti,,Til-agurrēti
1255,61,Šīhu-ša-Marduk-apla-uṣur,,Šīhu-ša-Marduk-apla-uṣur
1207,61,Rūdaja-ša-Bīt-Nabû,,Rūdaja-ša-Bīt-Nabû
1156,61,Namzû,,Namzû
1108,61,Kapri-šapiri,,Kapri-šapiri
1060,61,Huṣṣēti-ša-Bazūzu,8073,Huṣṣēti-ša-Bazūzu
1012,61,Harru-ša-Iddinā,,Harru-ša-Iddinā
964,61,Dūr-Ugumu,,Dūr-Ugumu
916,61,Bīt-Šalti-'il,,Bīt-Šalti-'il
868,61,Bīt-Iqīšā,,Bīt-Iqīšā
820,61,Balnamhe [Duplicate],,Balnamhe [Duplicate]
772,61,Ašat[...],,Ašat[...]
724,61,Ālu-ša-Izkur-dān,,Ālu-ša-Izkur-dān
676,40,Til-hurdi,,Til-hurdi
628,40,Sipira‛ni,,Sipira‛ni
580,40,Maškattu-ša-Amurru,,Maškattu-ša-Amurru
532,40,Huṣṣūti-ša-Bau-ēreš,,Huṣṣūti-ša-Bau-ēreš
484,40,Huṣṣēti-ša-Addija,,Huṣṣēti-ša-Addija
436,40,Gambūlāja,,Gambūlāja
388,40,Bīt-ša-pāni-ekalli,,Bīt-ša-pāni-ekalli
340,40,Bīt-rab-ṭābihē,,Bīt-rab-ṭābihē
292,40,Bīt-Haššamur,,Bīt-Haššamur
244,40,Bīt-Dajjānatu,,Bīt-Dajjānatu
196,40,Bīt-Abdija,,Bīt-Abdija
148,40,Ālu-ša-Šullum,,Ālu-ša-Šullum
100,40,Ālu-ša-Addidāja,,Ālu-ša-Addidāja
52,4,Borsippa,2880,Borsippa
1547,40,Bīt Mīnû-ana-Bēl-dānu,8554,Bīt Mīnû-ana-Bēl-dānu
1530,1470,Bištu-ša-ṣinnatu,7508,Bištu-ša-ṣinnatu
1513,1470,Ālu-ša-BI.LU ,7873,Ālu-ša-BI.LU 
1497,52,Ālu-ša-Nūrānu,,Ālu-ša-Nūrānu
