Object ID,Museum No.,Publication,Text number,Period,Place of issue,Type and content,Day remark,Month,Month remark,Year,Year remark,King,King remark,Paraphrase,Transliteration,Imported,Publication name,Archive,Day (Babylonian),Bibliography,Title,Duplicate,Related objects,Julian date,Julian date year,Place of issue Remark,Museum inventory no.,Page number,Join,Bibliography (free text),CDLI No.,NaBuCCo No.,Other markings,Orientation,Other markings Description,CDLI reference,Items and quantifiable data,Provenience,Akkadian keywords,General keywords,Photo,Julian date Remark,Provenience Remark,Philological notes,Philological notes Remark,Identifier,Babylonian date Remark
6273,BM 30902,Camb.,86,Each,Babylon city,Receipts,-,IX,-,1,-,Cyr,-,"Receipt for silver.<br />
<strong>A</strong> receives 5 shekels of silver on <strong>fC</strong>&rsquo;s orders from <strong>B</strong>, slave of <strong>D</strong>.<br />
&nbsp;<br />
<strong>A </strong>= Nab&ucirc;-aha-iddin/Ilu-aqaba; <strong>B </strong>= Nergal-rēṣūa, slave of <strong>D</strong>; f<strong>C </strong>= fEsagila/Marduk-aha-iddin; <strong>D </strong>= Iddin-Marduk/Iqī&scaron;āya//Nūr-S&icirc;n","Transliteration available on <a href=""http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-regions/babylonie/babylone/1675755"" target=""_blank"">Achemenet</a>",Stefania Ermidoro (28/05/2016),Camb. 86,Egibi/Nūr-Sîn,23,"Reedition: Wunsch 1993, no. 268.",BM 30902,,,,,,,,,,,,,,,,,,,,,,,,,,
6257,BM 30712,Dar.,137,Each,Babylon city,Receipts,-,IX,-,4,-,Dar,-,"Receipt of silver. Payment of a debt. Return of the debtnote<br />
<strong>A</strong> receives (<em>eṭ</em><em>ē</em><em>ru)</em> the 4 minas of silver that <strong>B</strong> owes him, and the interest, according to what they agreed. He should return the promissory note pertaining to this debt to <strong>B</strong> (<em>na&scaron;</em><em>&ucirc;-</em><em>nad</em><em>ānu</em>). Names of 2 witnesses and the scribe.<br />
&nbsp;<br />
<strong>A </strong>= Nab&ucirc;-mukīn-apli/Kalbāya/Ahu-bani; <strong>B </strong>= Marduk-nāṣir-apli/Itti-Marduk-balāṭu//Egibi","Transliteration available on <a href=""http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-egibi/1655307"" target=""_blank"">Achemenet</a>",Stefania Ermidoro (28/05/2016),Dar. 137,Egibi/Nūr-Sîn,25,,BM 30712,,,,,,,,,,,,,,,,,,,,,,,,,,
6241,BM 30457,Nbn.,536,NB,Babylon city,Receipts,-,VI,-,11,-,Nbn,-,"Receipt. Purchase price.<br />
<strong>A</strong> receives 10 shekels of silver from <strong>B<sub>1</sub></strong>, <strong>B<sub>2</sub></strong> and <strong>B<sub>3</sub></strong> for the boat that he sold to them. This is in addition to the 10 shekels of silver that he already received from them.<br />
&nbsp;<br />
<strong>A </strong>= Bēl-ahhē-eriba//Rēmūtu; <strong>B<sub>1</sub></strong> = Bān&ucirc;nu//Ṣillāya; <strong>B<sub>2</sub></strong> = Nab&ucirc;-ahhē-iddin/&Scaron;ulāya//Egibi; <strong>B<sub>3</sub></strong> =Nab&ucirc;-balāssu-iqbi//Dayyān-Marduk",,Stefania Ermidoro (28/05/2016),Nbn. 536,Egibi/Nūr-Sîn,8,,BM 30457,,,,,,,,,,,,,,,,,,,,,,,,,,
6223,1878.3,OECT 10,105,NB,,Receipts,-,XII,-,9,-,Nbn,-,"Receipt for silver.<br />
<strong>C</strong> owes 1 &frac12; minas of silver to <strong>A</strong> and pledged two of his slaves (<strong>E<sub>1</sub></strong> and <strong>E<sub>2</sub></strong>) to secure repayment. In the present document <strong>A</strong> receives the silver on <strong>D</strong>&rsquo;s orders from <strong>B</strong>. The promissory note (<em>u&#39;iltu</em>) recording the debt has been given back, and a copy is with <strong>D</strong>. Witnesses and the scribe: Nab&ucirc;-&scaron;umu-ukin/Nādin<br />
&nbsp;<br />
<strong>A </strong>= Nab&ucirc;-&scaron;umu-ukin/Nādin; <strong>B </strong>= Itti-Marduk-balāṭu/Nab&ucirc;-ahhē-iddin//Egibi; <strong>C </strong>= Nab&ucirc;-tultab&scaron;i-lī&scaron;ir/Bēl-zēru-ibni//Nappāhu; <strong>D </strong>= Iddin-Marduk/Iqī&scaron;āya//Nūr-S&icirc;n; <strong>E<sub>1</sub></strong> = &Scaron;a-p&icirc;-kalbi; <strong>E<sub>2</sub></strong> = Bēl-pitnanni<br />
&nbsp;",,Stefania Ermidoro (28/05/2016),OECT 10 105,Egibi/Nūr-Sîn,10,"Wunsch 1993, No. 170; Shiff 1987, No. 111",1878.3,Test Roxanne Wyns 001,8498,,,,,,,,,,,,,,,,,,,,,,,,
4441,BM 67413,Dar.,452,Each,Šaḫrīn,Receipts,-,X,-,17,-,Dar,-,"Receipt of silver and barley by a slave of the Egibi family. Partial payment of a debt.<br />
<strong>A</strong>, slave of <strong>D</strong>, receives (<em>mahāru</em>) 1/2 mina of silver from <strong>B<sub>1</sub></strong> and <strong><sup>f</sup>B<sub>2</sub></strong>, his mother, part of a larger debt (<em>u&#39;iltu</em>) of 35 kor of dates and a broken amount of marked silver that is due from them. <strong>A </strong>also (<em>u</em>) receives (<em>mahāru</em>) 3.2.3 kor of barley from them, a claim (<em>ra&scaron;&ucirc;tu</em>) that he held against <strong>C</strong>, father of <strong>B<sub>1</sub></strong> and husband of <strong>B<sub>2</sub></strong>. Names of 7 witnesses and the scribe.<br />
<br />
<strong>A</strong>=Madān-bēlu-uṣur, slave of <strong>D</strong>;&nbsp;<strong>B<sub>1</sub></strong>=Nergal-uballiṭ/Bēl-iddin;&nbsp;<strong><sup>f</sup>B<sub>2</sub></strong>= <sup>f</sup>Qunnabi/<em>Ahhē-iddin</em>, wife of <strong>C</strong>;&nbsp;<strong>C</strong>=Bēl-iddin;&nbsp;<strong>D</strong>=&Scaron;irku/Iddinaya//Egibi<sub> </sub>(=Marduk-nāṣir-apli/Itti-Marduk-balāṭu//Egibi)","Transliteration available on <a href=""http://www.achemenet.com/fr/item/?/3349245==Strassmaier --Inschriften von Darius&l=a&c=1&t=1.4/5/96/1/1662211"" target=""_blank"">Achemenet</a>",Kathleen Abraham (18/04/2016),Dar. 452,Egibi/Nūr-Sîn,22,"Reedition: Abraham 2004, 124; Dandamaev 1984 (Slavery), 355 (transl.), 360",BM 67413,,,29/01/504 BCE,504,,,,,,,,,,,,,,,,,,,,,,
4425,BM 30838,Dar.,318,Each,Babylon city,Promissory notes ina muẖẖi,-,I,-,12,-,Dar,-,"Promissory note to pay a debt of silver and barley. Repayment according to the measure of the head of the Egibi family.<br />
<strong>B</strong> should pay the 1/2 mina of medium quality silver, of which 1/8 is alloy, and the 38 kor of barley which are due from him, to <strong>A</strong>. Payment should be at the river (<em>ina muhhi nāri</em>) in Til-Gula, in one instalment and according to <strong>C</strong>&rsquo;s measure, but it is not specified when it should take place. The place of delivery is further specified at the very end of the obverse, before the list of witnesses: at the lower embankment (<em>ina &scaron;apli&scaron; kāri</em>). Names of 4 witnesses and the scribe.<br />
<br />
<strong>A</strong>=Marduk-bēl&scaron;unu/Arad-Marduk//&Scaron;ang&ucirc;-Ea;&nbsp;<strong>B</strong>=Nab&ucirc;-ittannu/Nab&ucirc;-zēru-lī&scaron;ir//Nūr-Papsukkal; <strong>C</strong>=Marduk-nāṣir-apli (=Marduk-nāṣir-apli/Itti-Marduk-balāṭu//Egibi)","Transliteration available on <a href=""http://www.achemenet.com/fr/item/?/3349245==Strassmaier --Inschriften von Darius&l=a&c=1&t=1.4/4/96/1/1659158"" target=""_blank"">Achemenet</a>",Kathleen Abraham (18/04/2016),Dar. 318,Egibi/Nūr-Sîn,16,Reedition: Abraham 2004 108,BM 30838,,,28/04/510 BCE,510,,,,,,,,,,,,,,,,,,,,,,
4409,Mnb 1870,TCL 13,185,Each,Babylon city,Receipts,-,XI,-,7,-,Dar,-,"Receipt of silver from the head of the Egibi family.<br />
<strong>A</strong> receives (<em>eṭēru</em>) 2 minas of medium quality silver, of which 1/8 is alloy, from <strong>B</strong>. It is the remainder (<em>rīhtu</em>) of probably 4 minas 10 shekels of silver (1+x minas x shekels.) that belongs to (<em>mala &scaron;</em>a) <strong>C</strong> and his brothers<sup>?</sup> and &ldquo;which they gave to <strong>B</strong> for 2 1/2 minas of silver&rdquo; (<em>&scaron;a ana</em> <strong>B</strong> <em>ana</em> 2 1/2&nbsp;<em>mana kaspu iddinu</em>). Granted that this refers to the brothers&rsquo; sale of a slave to <strong>B</strong> a year ago for 4 minas and 10 shekels (BM30927), we may surmise that the sale was meant to raise the cash needed to pay the sellers&rsquo; creditor (<strong>A</strong>). Accordingly, <strong>B</strong> was told by the sellers to pay directly to <strong>A</strong>, which de facto happens in three installments: a payment of 1/2 mina in BM77848, the current payment of 2 minas, and the remainder of 1 1/2 minas in Abraham2004001. The current payment covers the capital sum (<em>ra&scaron;&ucirc;tu</em>) and its interest (<em>hubullu</em>). Upon receipt of the silver <strong>A </strong>promptly hands over (<em>ki utirri!* ...</em> <em>ittadin</em> [<em>t&acirc;ru </em>D<em>-nadānu</em>]) the promissory note (<em>u&#39;iltu</em>) for the 2 1/2 minas of silver to <strong>B</strong>. He already (<em>elat</em>) handed over the register (<em>giṭṭu</em>) regarding the 1 1/2 minas of silver to <strong>B</strong> (Abraham2004001). Names of 3 witnesses and the scribe.<br />
<br />
*L. 11: &lt;<em>u</em>&gt;-<em>tir</em>!(&Scaron;AH)-<em>ri</em>?!(BU).<br />
<br />
<strong>A</strong>=Nab&ucirc;-&scaron;umu-ukin/Bēl-ēṭir/&Scaron;ang&ucirc;-Nanāya<sup>!;&nbsp;</sup><strong>B</strong>=&Scaron;irku/Iddinaya//Egibi (=Marduk-nāṣir-apli/Itti-Marduk-balāṭu//Egibi);&nbsp;<strong>C</strong>=Bēl-nādin-apli/<em>...</em>",,Kathleen Abraham (18/04/2016),TCL 13 185,Egibi/Nūr-Sîn,12,"Reedition: Abraham 2004, no. 140.",Mnb 1870,,,09/02/514 BCE,514,,,,,,,,,,,,,,,,,,,,,,
4393,MLC 0542,BRM 1,081,Each,Babylon city,,,,,,,,,,,Kathleen Abraham (18/04/2016),BRM 1 081,Egibi/Nūr-Sîn,,,MLC 0542,BM 30980,4338,,,,,,,,,,,,,,,,,,,,,,,,
4377,BM 32873,Abraham 2004,067,Each,Babylon city,Exchanges,-,XII,-,26,-,Dar,-,"Exchange<sup>?</sup> of boats.<br />
The document opens by referring to two boats: a boat with a width of 6 cubīts at its beam (<em>&scaron;aburru</em>), which has <em>run aground</em>? (<em>ṭu-bu-&uacute; </em>[<em>ṭab&ucirc;</em> D]) at the bank (<em>nabalkattu</em>), and a boat with a width of 6 1/2 cubīts at its beam, which is part of a (pontoon-) bridge (<em>gi&scaron;ru</em>). It continues by referring to a third boat, as follows: <em>- which</em>/<em>of -, </em>one boat (<em>&scaron;a i&scaron;tēt eleppu</em>) with a width of 5 cubīts at its beam, which belongs to <strong>A</strong>. The document then states: with each &quot;other have exchang (<em>itti ahāme&scaron; &scaron;upēl&ucirc;</em>)&quot;, thus referring to the exchange of the first two boats with the third one, although it is not entirely clear who is meant by &quot;they&quot; (probably <strong>A</strong> and <strong>B</strong>). The document concludes by stating that <strong>B</strong> assumes warranty for the <em>u&scaron;k&ucirc;tu</em> of the <em>run aground</em>? boat and the boat of the (pontoon)-bridge. Names of 5 witnesses. The scribe is &Scaron;irku/Iddinaya//Egibi (=Marduk-nāṣir-apli/Itti-Marduk-balāṭu//Egibi).<br />
<br />
<strong>A</strong>=Kāṣiru/Ipria//Marduk-abu&scaron;u; <strong>B</strong>=Bēl-upahhir/Bāba-ēre&scaron;//Mudammiq-Adad",,Kathleen Abraham (18/04/2016),Abraham 2004 067,Egibi/Nūr-Sîn,16,,BM 32873,,,13/03/495 BCE,495,,,,,,,,,,,,,,,,,,,,,,
4358,BM 31528,Abraham 2004,051,Each,Babylon city,Receipts,-,V,-,26,-,Dar,-,"Receipt of silver by a member of the Egibi family. Payment for <em>rikis qabli</em>.<br />
<strong>A</strong> receives (<em>mahāru</em>) 1 mina of white silver, of which 1/8 is alloy, from <strong>B</strong>, paid for <em>rikis qabli</em> since (<em>ultu</em>) the 24<sup>th</sup> year. <strong>A</strong> has not yet received payment for the debt (<em>u&#39;iltu</em>) of what remains (<em>rēhu</em>) to be paid for the <em>rikis qabli</em> of the 23<sup>rd</sup> year, a claim (<em>ra&scaron;&ucirc;tu</em>) still held by <strong>A</strong> against <strong>B</strong>. There exists a previous tablet (<em>giṭṭu</em>) regarding the <em>rikis qabli</em> for the 23<sup>rd</sup> year, viz. for 1 mina of silver. The parties to the contract have taken one copy of the document each. Names of 3 witnesses and the scribe<br />
<br />
<strong>A</strong>=<em>Nab&ucirc;</em>-ahhē-bulliṭ/Itti-Marduk-balāṭu//Egibi;&nbsp;<strong>B</strong>=Nab&ucirc;-zēru-ibni/Itti-Nab&ucirc;-balāṭu//Egibi",,Kathleen Abraham (18/04/2016),Abraham 2004 051,Egibi/Nūr-Sîn,26,,BM 31528,,,28/08/496 BCE,496,,,,,,,,,,,,,,,,,,,,,,
